Mail Agricultor;Nombre Agricultor;Apellido Agricultor;Mail Cliente;Nombre Cliente;Apellido Cliente;Nombre Campo;Ubicación de Campo;Fruta Cosechada;Variedad Cosechada
mtreutel@email.com;Madison;Treutel;lcummerata@email.com;Lea;Cummerata;voluptatem ;139 Lucio Tunnel;brocoli;large
mhowell@email.com;Mckenzie;Howell;sschuppe@email.com;Salvador;Schuppe;quaerat aut;18764 Johathan Forks;mango;extra large
cmckenzie@email.com;Calista;McKenzie;dkshlerin@email.com;Dannie;Kshlerin;consequatur;71253 Prince Point;apple;extra large
dbaumbach@email.com;Dax;Baumbach;ahessel@email.com;Ava;Hessel;sunt dolore;28031 Reilly Points;apple;large
mlarkin@email.com;Miles;Larkin;dkshlerin@email.com;Dannie;Kshlerin;eligendi al;3064 Schulist Club;brocoli;medium
ndubuque@email.com;Nicklaus;DuBuque;akeebler@email.com;Aaliyah;Keebler;enim perspi;139 Lucio Tunnel;brocoli;large
jsporer@email.com;Josiah;Sporer;dkshlerin@email.com;Dannie;Kshlerin;et est et;55527 Auer Ramp;mango;medium
cmckenzie@email.com;Calista;McKenzie;hpouros@email.com;Howard;Pouros;vel dicta v;137 Lebsack Valleys;carrot;small
jsporer@email.com;Josiah;Sporer;hpouros@email.com;Howard;Pouros;aperiam par;3064 Schulist Club;mango;large
bschoen@email.com;Benjamin;Schoen;lcummerata@email.com;Lea;Cummerata;;99668 Stephania Isle;avocado;large
kwiza@email.com;Keyshawn;Wiza;frempel@email.com;Fabian;Rempel;odit rerum ;375 Stokes Loaf;avocado;large
rwiza@email.com;Roberto;Wiza;msenger@email.com;Mara;Senger;eius laudan;5739 Parisian Ways;avocado;extra large
hdickinson@email.com;Hardy;Dickinson;akeebler@email.com;Aaliyah;Keebler;nihil minim;423 Ola Brook;avocado;extra large
;;;;;;;;;
ngutmann@email.com;Neoma;Gutmann;twolf@email.com;Tatyana;Wolf;dolorem qua;3064 Schulist Club;orange;extra large
fmohr@email.com;Franco;Mohr;mdaugherty@email.com;Martina;Daugherty;ut et nobis;10617 Bruen Mall;onion;small
rrolfson@email.com;Rudy;Rolfson;jkub@email.com;Jovan;Kub;rerum conse;67117 Ava Center;orange;extra large
